,a,b,c,d,e,id
1,1200,300,26.8,1200,0,1
2,300,300,20.4,300,0,1
3,300,600,26.8,300,900,1
4,300,0,6.8,300,300,1
5,300,0,8,300,6300,1
6,600,300,17.6,600,3300,1
7,600,300,17.6,600,900,1
8,600,300,9.6,600,0,1
9,300,0,5.6,300,10200,1
10,300,0,5.6,300,5100,1
11,1500,300,12.4,1500,2400,1
12,300,300,8.4,300,6900,1
13,600,300,18.8,600,1500,1
14,600,300,18.8,600,300,1
15,300,600,26.4,300,0,1
16,300,300,22.4,300,7200,1
17,300,300,22.4,300,2700,1
18,300,0,14,300,2700,1
19,600,300,20.4,600,2400,1
20,300,300,4.4,300,5700,1
21,300,0,4.4,300,0,1
22,600,300,9.2,600,9300,1
23,600,600,40.4,600,4800,1
24,600,900,56.8,600,1800,1
25,900,1500,32.4,900,300,1
26,600,300,11.2,600,11400,1
27,600,300,11.2,600,13500,1
28,1800,300,15.2,1800,4800,1
29,600,300,15.2,600,0,1
30,600,300,11.6,600,0,1
31,300,300,48,300,5700,1
32,600,300,9.2,600,29400,1
33,600,300,8.8,600,0,1
34,300,300,4,300,0,1
35,600,600,12,600,300,1
36,2100,300,26.4,2100,1800,1
37,300,300,10,300,30300,1
38,600,600,10,600,3000,1
39,600,300,12.4,600,0,1
40,600,300,22,600,6000,1
41,300,0,4.8,300,3600,1
42,300,300,6.8,300,2400,1
43,300,300,5.6,300,0,1
44,600,300,6.4,600,8400,1
45,600,300,19.6,600,0,1
46,600,300,7.6,600,2400,1
47,300,300,6,300,0,1
48,300,0,3.6,300,0,1
49,600,300,4.4,600,300,1
50,600,300,11.2,600,0,1
51,600,300,11.2,600,2100,1
52,600,300,14,600,0,1
53,1800,300,10.4,1800,0,1
54,600,300,38.8,600,0,1
55,600,300,31.2,600,600,1
56,600,1500,31.2,600,0,1
57,300,300,9.2,300,27300,1
58,600,300,13.6,600,1800,1
59,600,300,13.6,600,2100,1
60,300,0,5.6,300,15000,1
61,300,300,12.8,300,32100,1
62,900,300,33.2,900,900,1
63,600,600,33.2,600,300,1
64,300,0,4,300,9900,1
65,600,300,18.8,600,2100,1
66,600,300,26.4,600,600,1
67,600,300,22,600,300,1
68,600,900,22,600,0,1
69,300,300,4.8,300,0,1
70,600,300,4.8,600,0,1
71,300,300,3.6,300,0,1
72,300,0,4.8,300,300,1
73,600,300,30.8,600,600,1
74,900,600,22,900,0,1
75,900,600,17.6,900,0,1
76,300,300,57.2,300,8100,1
77,600,600,57.2,600,1500,1
78,600,900,80.8,600,900,1
79,600,600,69.6,600,1500,1
80,300,900,81.6,300,4500,1
81,2400,600,32,2400,26400,1
82,300,1200,38.4,300,1500,1
83,300,300,6.4,300,18000,1
84,600,1200,11.6,600,8700,1
85,600,300,11.6,600,300,1
86,300,0,4.4,300,27900,1
87,300,0,5.6,300,1500,1
88,300,0,3.6,300,2100,1
89,300,0,3.6,300,1200,1
90,300,300,3.6,300,300,1
91,300,0,3.6,300,0,1
92,300,0,3.6,300,1500,1
93,300,300,9.2,300,1200,1
94,300,900,21.2,300,2100,1
95,600,900,37.6,600,300,1
96,1200,1200,21.2,1200,0,1
97,300,300,7.2,300,24000,1
98,300,0,17.6,300,50100,1
99,900,1500,30.8,900,2700,1
100,600,300,26.4,600,900,1
101,600,300,17.6,600,0,1
102,600,300,18,600,9600,1
103,600,300,9.6,600,18300,1
104,600,300,14.8,600,1200,1
105,300,0,43.6,300,5400,1
106,300,0,3.6,300,32700,1
107,600,600,41.6,600,3300,1
108,600,900,34.8,600,0,1
109,600,900,34.8,600,0,1
110,600,600,34.8,600,1800,1
111,300,300,5.6,300,24900,1
112,300,0,22.4,300,14100,1
113,600,300,21.2,600,18000,1
114,300,300,38.4,300,11700,1
115,900,300,49.2,900,4800,1
116,900,1200,34.8,900,0,1
117,300,300,27.6,300,0,1
118,600,600,22.4,600,300,1
119,300,900,27.6,300,0,1
120,300,0,34.8,300,0,1
121,300,300,4.8,300,15300,1
122,600,300,5.6,600,0,1
123,600,300,7.6,600,7800,1
124,600,900,8,600,1200,1
125,300,300,4.8,300,0,1
126,300,0,3.6,300,0,1
127,600,300,61.2,600,6600,1
128,600,300,65.6,600,6300,1
129,300,0,3.6,300,17700,1
130,300,300,4.4,300,1800,1
131,300,0,3.6,300,900,1
132,600,300,76,600,1200,1
133,600,600,54,600,0,1
134,300,900,54,300,1200,1
135,900,600,18.4,900,2700,1
136,600,300,14.4,600,0,1
137,600,300,24,600,0,1
138,44400,0,68,44400,300,1
139,300,0,4.4,300,21300,1
140,300,300,4,300,3000,1
141,600,300,6,600,0,1
142,600,300,8,600,0,1
143,300,300,16.4,300,0,1
144,600,1800,52.4,600,2100,1
145,600,900,29.6,600,0,1
146,1200,1500,44.8,1200,600,1
147,600,900,43.2,600,0,1
148,300,600,37.2,300,2100,1
149,300,600,43.2,300,1500,1
150,900,300,37.2,900,0,1
151,600,900,37.2,600,1800,1
152,600,300,37.2,600,0,1
153,600,300,37.6,600,0,1
154,900,0,14.4,900,10500,1
155,600,300,15.2,600,1800,1
156,300,300,4.8,300,7800,1
157,300,0,4.8,300,600,1
158,300,300,5.2,300,14700,1
159,300,0,5.2,300,900,1
160,300,600,63.6,300,3900,1
161,600,300,54.4,600,300,1
162,600,300,54.4,600,1500,1
163,300,0,10.4,300,0,2
164,300,300,10.8,300,1500,2
165,300,300,17.2,300,600,2
166,300,0,9.2,300,1500,2
167,300,0,3.6,300,1200,2
168,300,0,17.2,300,600,2
169,300,0,4.4,300,600,2
170,300,0,8.4,300,4800,2
171,300,0,4.8,300,3300,2
172,300,0,3.6,300,300,2
173,300,0,5.6,300,2400,2
174,300,300,10.8,300,600,2
175,300,300,16,300,900,2
176,300,300,12.8,300,0,2
177,300,0,4.4,300,600,2
178,300,300,8,300,0,2
179,300,0,8,300,1200,2
180,300,0,9.6,300,2100,2
181,300,300,10.8,300,1200,2
182,300,300,10.8,300,1500,2
183,300,0,3.6,300,4500,2
184,300,0,10.4,300,2700,2
185,300,0,9.2,300,5700,2
186,300,0,6,300,5400,2
187,300,0,6,300,900,2
188,300,0,9.2,300,9300,2
189,300,0,3.6,300,31500,2
190,300,300,33.6,300,7800,2
191,300,0,6.8,300,300,2
192,600,600,8.8,600,0,2
193,600,300,8.4,600,300,2
194,300,0,7.2,300,900,2
195,300,0,4,300,3000,2
196,300,0,4,300,0,2
197,300,900,16.4,300,0,2
198,300,300,5.6,300,1500,2
199,300,0,5.6,300,0,2
200,300,0,5.6,300,0,2
201,300,0,4,300,0,2
202,600,600,4,600,0,2
203,300,0,4.4,300,0,2
204,300,0,3.6,300,1500,2
205,300,0,3.6,300,600,2
206,300,0,5.01,300,3600,2
207,300,300,6.4,300,3600,2
208,300,0,4,300,12300,2
209,900,600,9.2,900,1500,2
210,300,0,12,300,0,2
211,300,300,12,300,2400,2
212,300,0,3.6,300,1500,2
213,300,0,4,300,4800,2
214,300,0,10,300,2400,2
215,300,600,46.4,300,8400,2
216,300,300,6.4,300,5700,2
217,300,300,41.6,300,1200,2
218,300,300,26.8,300,0,2
219,300,300,26.8,300,900,2
220,300,300,22.4,300,600,2
221,300,0,4.4,300,600,2
222,1200,300,22.4,1200,0,2
223,300,300,14,300,0,2
224,300,300,8.8,300,0,2
225,600,300,6,600,14700,2
226,600,300,7.6,600,600,2
227,300,0,4,300,0,2
228,300,0,5.6,300,8700,2
229,300,300,5.6,300,300,2
230,300,0,10,300,3900,2
231,600,300,63.6,600,7500,2
232,900,300,15.6,900,0,2
233,300,900,48.8,300,0,2
234,300,0,12.4,300,26400,2
235,300,0,8,300,1800,2
236,300,300,51.6,300,3000,2
237,300,0,51.6,300,2100,2
238,300,300,28.8,300,300,2
239,600,300,16,600,0,2
240,600,300,16,600,0,2
241,300,300,18.4,300,300,2
242,300,600,12.4,300,300,2
243,600,300,7.6,600,3300,2
244,600,300,27.6,600,900,2
245,300,0,4.8,300,8100,2
246,300,0,10.4,300,300,2
247,300,300,12.8,300,0,2
248,600,300,10.4,600,600,2
249,300,0,8.4,300,4500,2
250,600,300,12.8,600,300,2
251,300,300,32.4,300,1500,2
252,300,600,13.6,300,0,2
253,300,600,22,300,600,2
254,600,300,6.4,600,3600,2
255,300,300,14.4,300,47400,2
256,600,300,14.4,600,0,2
257,600,900,31.6,600,300,2
258,600,300,14.4,600,600,2
259,600,1200,31.6,600,0,2
260,600,300,7.2,600,3000,2
261,600,300,7.2,600,0,2
262,300,300,4.8,300,0,2
263,600,300,5.6,600,0,2
264,600,300,5.2,600,600,2
265,300,300,4,300,1500,2
266,300,900,8,300,7800,2
267,300,300,78.4,300,300,2
268,600,600,22.8,600,0,2
269,600,0,91.6,600,0,2
270,300,900,52.4,300,0,2
271,300,600,91.6,300,1200,2
272,300,900,94.4,300,300,2
273,300,1200,80.8,300,2100,2
274,600,300,22.8,600,3300,2
275,900,600,8,900,21000,2
276,600,600,68,600,1200,2
277,600,300,68,600,0,2
278,300,900,48.4,300,0,2
279,900,2400,26.4,900,1200,2
280,900,600,8.4,900,0,2
281,300,0,5.6,300,0,2
282,300,300,10.8,300,5400,2
283,300,300,12.8,300,0,2
284,600,300,12.8,600,0,2
285,600,300,10.705,600,300,2
286,300,0,4.4,300,300,2
287,300,0,3.6,300,300,2
288,300,0,3.6,300,0,2
289,300,300,4.4,300,0,2
290,300,0,4.4,300,0,2
291,300,300,4.8,300,300,2
292,300,300,4.8,300,0,2
293,300,0,4.4,300,600,2
294,900,300,4.4,900,600,2
295,300,0,4.8,300,900,2
296,300,300,4,300,0,2
297,300,300,4.4,300,0,2
298,300,0,3.6,300,1500,2
299,300,0,3.6,300,600,2
300,300,0,14.8,300,900,2
301,300,0,44,300,0,2
302,300,0,12.4,300,2700,2
303,600,300,66.8,600,1800,2
304,300,600,55.6,300,0,2
305,300,900,78.4,300,600,2
306,600,600,15.2,600,0,2
307,600,300,20.4,600,0,2
308,300,300,16.8,300,0,2
309,300,300,6.4,300,12600,2
310,600,300,60.4,600,18900,2
311,600,300,70.8,600,0,2
312,300,900,60.4,300,0,2
313,600,300,27.2,600,300,2
314,300,300,6.4,300,2700,2
315,300,0,5.2,300,3600,2
316,300,300,5.2,300,0,2
317,300,0,4.8,300,0,2
318,300,0,3.6,300,1200,2
319,300,300,4.8,300,300,2
320,900,300,4.8,900,300,2
321,300,300,5.2,300,0,2
322,300,300,5.2,300,0,2
323,300,300,5.2,300,0,2
324,300,300,5.6,300,0,2
325,600,300,6,600,0,2
326,300,0,4,300,1200,2
327,300,0,4.8,300,300,2
328,300,300,4.8,300,600,2
329,300,300,6,300,0,2
330,300,300,4,300,300,2
331,300,0,3.6,300,900,2
332,300,300,68,300,5400,2
333,300,300,19.41,300,600,2
334,300,600,78.8,300,0,2
335,300,600,67.6,300,0,2
336,600,600,78.8,600,300,2
337,600,900,67.6,600,0,2
338,600,600,78.8,600,600,2
339,300,900,67.6,300,300,2
340,600,600,78,600,1200,2
341,300,900,66.4,300,900,2
342,600,300,18.8,600,600,2
343,300,900,66.4,300,0,2
344,600,300,78,600,2700,2
345,300,900,66.4,300,300,2
346,300,600,76.4,300,9300,2
347,300,600,76.4,300,4200,2
348,300,300,38.4,300,4200,2
349,600,600,67.6,600,1200,2
350,300,600,58,300,300,2
351,300,900,67.6,300,1200,2
352,300,300,38.4,300,300,2
353,1200,1200,30.8,1200,0,2
354,300,300,6.8,300,0,2
355,300,300,8.8,300,5100,2
356,300,300,8.8,300,300,2
357,600,300,12.8,600,0,2
358,300,300,6.8,300,0,2
359,600,300,6.8,600,0,2
360,300,300,6.8,300,0,2
361,300,0,3.6,300,0,2
362,300,0,3.6,300,0,2
363,300,0,3.6,300,0,2
364,300,0,3.6,300,600,2
365,1200,300,9.6,1200,1500,2
366,600,300,10.6,600,0,2
367,600,900,9,600,0,2
368,300,0,3.8,300,0,2
369,300,0,3.8,300,0,2
370,300,0,3.8,300,300,2
371,300,300,5.4,300,0,2
372,900,300,4.6,900,600,2
373,300,300,15.8,300,1500,2
374,3600,0,70.2,3600,0,2
375,300,300,70.2,300,0,2
376,300,900,70.2,300,0,2
377,300,600,70.2,300,600,2
378,600,600,82.6,600,1800,2
379,1200,1200,15.8,1200,2700,2
380,300,600,111.8,300,1200,2
381,300,300,60.2,300,2100,2
382,300,600,64.6,300,24000,2
383,300,0,15,300,0,2
384,300,600,54.6,300,1200,2
385,600,300,54.6,600,600,2
386,300,300,29,300,300,2
387,300,600,19.8,300,0,2
388,300,0,7.8,300,8100,2
389,300,300,24.6,300,0,2
390,300,0,4.6,300,2700,2
391,300,0,4.6,300,1200,2
392,300,0,4.6,300,0,2
393,300,300,6.6,300,0,2
394,300,0,3.4,300,0,2
395,900,300,4.2,900,300,2
396,300,0,4.2,300,1200,2
397,300,300,4.2,300,600,2
398,300,0,4,300,2400,2
399,300,0,4,300,900,2
400,300,0,4,300,900,2
401,300,0,4,300,1500,2
402,1800,300,78,1800,0,2
403,3900,0,66.4,3900,0,2
404,300,900,66.4,300,0,2
405,300,300,6.4,300,300,2
406,300,600,66.4,300,0,2
407,300,1200,78,300,300,2
408,1200,900,14.8,1200,900,2
409,300,300,79.6,300,0,2
410,600,300,68,600,2100,2
411,300,600,56.4,300,1800,2
412,300,300,44.8,300,2400,2
413,300,0,11.8,300,3900,2
414,300,0,54.6,300,0,2
415,300,300,54.6,300,0,2
416,600,600,4.6,600,300,2
417,600,600,4.6,600,0,2
418,300,0,4.6,300,3000,2
419,300,300,4.6,300,0,2
420,300,0,4.6,300,600,2
421,600,300,5.4,600,2400,2
422,2700,0,72,2700,0,2
423,600,900,51.2,600,1200,2
424,900,900,17.2,900,0,2
425,600,300,10.8,600,0,2
426,300,0,6.4,300,9300,2
427,300,0,6.4,300,900,2
428,600,300,10.4,600,300,2
429,600,300,8.8,600,1200,2
430,600,300,6.4,600,1500,2
431,600,300,6,600,4200,2
432,300,0,4,300,300,2
433,300,900,14,300,3000,2
434,300,300,14,300,300,2
435,600,300,52,600,300,2
436,600,300,64.8,600,900,2
437,600,300,10.8,600,2100,2
438,300,600,78,300,1200,2
439,300,300,12.4,300,5100,2
440,600,0,33.6,600,10200,2
441,300,0,4.4,300,18300,2
442,300,300,23.6,300,1500,2
443,600,300,18.8,600,3000,2
444,600,300,16,600,600,2
445,600,300,16,600,0,2
446,300,0,7.2,300,11400,2
447,900,300,5.6,900,0,2
448,300,600,8.4,300,0,2
449,600,300,9.2,600,1500,2
450,600,300,7.6,600,0,2
451,300,300,3.6,300,600,2
452,300,300,4.4,300,900,2
453,900,900,7.2,900,0,2
454,600,300,4.4,600,0,2
455,300,0,4.4,300,0,2
456,600,600,6.4,600,300,2
457,300,300,4.4,300,600,2
458,300,300,9.6,300,2100,2
459,600,300,35.6,600,600,2
460,600,300,15.2,600,3000,2
461,300,300,15.6,300,4500,2
462,300,600,142.4,300,4500,2
463,600,300,6.4,600,49800,2
464,300,300,9.6,300,600,2
465,600,300,15.6,600,300,2
466,900,300,15.6,900,900,2
467,600,300,12.8,600,1200,2
468,600,300,12.8,600,1200,2
469,600,300,10.8,600,3300,2
470,300,0,3.6,300,600,2
471,300,900,25.2,300,1500,2
472,300,300,55.2,300,7800,2
473,600,300,25.2,600,2100,2
474,300,0,17.6,300,16200,2
475,300,300,24.4,300,12600,2
476,600,300,20.4,600,9000,2
477,300,0,6,300,15600,2
478,600,300,10.4,600,900,2
479,600,300,12.8,600,300,2
480,300,300,8.4,300,1200,2
481,600,300,12.8,600,0,2
482,600,300,10.4,600,900,2
483,600,300,12.8,600,2100,2
484,600,300,86.8,600,13800,2
485,600,300,46.4,600,30600,2
486,600,300,25.6,600,7200,2
487,300,0,10.4,300,600,2
488,600,900,25.6,600,0,2
489,300,0,9.6,300,75300,2
490,300,600,54,300,1200,2
491,1200,600,54,1200,3300,2
492,300,0,4,300,19200,2
493,2100,300,10.8,2100,0,2
494,600,300,9.2,600,0,2
495,600,300,10,600,300,2
496,300,300,4.8,300,0,2
497,600,300,5.6,600,0,2
498,300,0,22,300,25500,2
499,300,0,7.2,300,32100,2
500,300,0,4.8,300,16500,2
501,300,0,5.6,300,2400,2
502,300,0,4.8,300,900,2
503,300,0,5.6,300,900,2
504,300,0,4,300,0,2
505,300,300,5.6,300,900,2
506,300,300,5.2,300,300,2
507,300,0,4,300,600,2
508,300,0,4.8,300,72600,2
509,300,0,6.4,300,10500,2
510,900,300,6.4,900,0,2
511,300,0,5.6,300,1500,2
512,1500,300,10.8,1500,0,2
513,300,300,13.6,300,0,2
514,300,0,4,300,1500,2
515,1200,300,13.6,1200,0,2
516,300,0,4,300,600,2
517,600,300,13.6,600,1500,2
518,600,300,7.6,600,60600,2
519,600,300,10.8,600,3300,2
520,300,300,10.8,300,5700,2
521,600,300,11.6,600,600,2
522,600,300,15.6,600,2400,2
523,600,300,56,600,1800,2
524,300,300,15.6,300,2700,2
525,300,300,15.6,300,1200,2
526,2100,1500,70.8,2100,1500,2
527,900,0,85.2,900,900,2
528,300,1200,100,300,1800,2
529,600,600,60,600,3000,2
530,600,300,14.4,600,3000,2
531,900,1800,36.8,900,12600,2
532,900,1800,24.4,900,0,2
533,600,300,16.4,600,0,2
534,300,0,4.4,300,13500,2
535,600,300,6.4,600,12300,2
536,300,300,5.6,300,0,2
537,300,0,9.2,300,1500,2
538,300,300,9.2,300,1500,2
539,900,600,12,900,0,2
540,300,300,35.6,300,7800,2
541,300,0,13.2,300,2700,2
542,300,300,3.6,300,5400,2
543,300,600,12.8,300,9600,2
544,300,300,14,300,12300,2
545,1500,900,60.4,1500,600,2
546,300,0,14,300,0,2
547,300,300,10,300,21600,2
548,600,300,14.4,600,4800,2
549,600,300,12.8,600,31800,2
550,600,300,12.8,600,4500,2
551,600,300,16.4,600,3600,2
552,300,900,32,300,2100,2
553,300,900,25.6,300,900,2
554,2100,300,56.4,2100,1500,2
555,600,600,17.6,600,0,2
556,300,300,14.8,300,0,2
557,300,0,5.2,300,23400,2
558,300,0,8,300,2700,2
559,600,0,15.2,600,0,2
560,300,0,4.4,300,1200,2
561,300,300,7.6,300,1500,2
562,300,0,9.2,300,900,2
563,900,600,22,900,0,2
564,600,300,18,600,4500,2
565,300,300,14.4,300,3300,2
566,600,300,70.4,600,25200,2
567,600,300,45.6,600,300,2
568,600,300,15.2,600,600,2
569,300,300,11.6,300,1500,2
570,600,300,24,600,1200,2
571,1500,300,31.2,1500,600,2
572,600,300,18.8,600,0,2
573,600,300,13.2,600,20700,2
574,300,300,7.2,300,0,2
575,300,300,7.2,300,0,2
576,300,0,4.8,300,0,2
577,300,300,5.6,300,0,2
578,300,300,4,300,0,2
579,300,300,4,300,0,2
580,300,0,6,300,2400,2
581,300,300,17.6,300,900,2
582,300,900,72,300,0,2
583,600,600,22.8,600,2400,2
584,600,300,17.6,600,3600,2
585,600,300,85.2,600,3900,2
586,300,300,24.4,300,0,2
587,300,300,85.2,300,1500,2
588,300,600,100,300,0,2
589,300,900,56.8,300,0,2
590,300,900,41.2,300,16800,2
591,300,0,9.6,300,0,2
592,300,300,54.8,300,4500,2
593,300,300,20,300,0,2
594,300,600,64.4,300,300,2
595,300,300,54.8,300,300,2
596,600,300,20,600,300,2
597,900,300,24.8,900,0,2
598,300,0,9.2,300,0,2
599,600,300,7.2,600,26100,2
600,300,0,5.2,300,300,2
601,300,0,5.2,300,300,2
602,300,0,7.6,300,0,2
603,300,0,7.6,300,0,2
604,300,300,18,300,600,2
605,300,300,11.2,300,1800,2
606,600,300,94.4,600,900,2
607,300,300,14.4,300,0,2
608,300,0,18,300,2400,2
609,300,300,43.2,300,0,2
610,300,0,5.6,300,70500,2
611,300,300,6,300,900,2
612,300,300,14,300,1800,2
613,1200,300,53.6,1200,4200,2
614,300,300,76,300,0,2
615,300,300,14.4,300,4800,2
616,300,600,94.4,300,4200,2
617,600,600,35.2,600,14700,2
618,300,0,42.8,300,9300,2
619,300,900,60.4,300,0,2
620,600,600,42.8,600,300,2
621,600,300,14,600,600,2
622,600,1500,60.4,600,0,2
623,600,300,18.8,600,0,2
624,300,0,18,300,600,2
625,300,0,9.2,300,6300,2
626,600,300,11.6,600,4800,2
627,300,0,4.8,300,12300,2
628,600,300,10,600,300,2
629,1200,300,75.2,1200,2100,2
630,300,0,10.4,300,1500,2
631,300,0,13.6,300,600,2
632,300,0,16.4,300,29700,2
633,300,300,7.2,300,51000,2
634,300,300,6,300,3000,2
635,600,300,8.8,600,0,2
636,300,0,9.2,300,7800,2
637,300,300,56,300,0,2
638,300,0,12,300,15900,2
639,600,300,15.2,600,8400,2
640,1500,300,34.4,1500,2700,2
641,600,900,41.2,600,300,2
642,1800,300,41.2,1800,0,2
643,300,300,5.2,300,26700,2
644,300,300,6,300,3300,2
645,300,300,5.8,300,300,2
646,600,300,5.8,600,0,2
647,900,300,6.4,900,300,2
648,300,0,3.6,300,0,2
649,300,300,5.2,300,0,2
650,600,600,5.2,600,0,2
651,300,0,5.2,300,1800,2
652,300,300,12.8,300,6000,2
653,600,300,7.6,600,11100,2
654,300,300,7.6,300,3300,2
655,300,0,14.8,300,300,2
656,300,0,14,300,6600,2
657,600,300,4,600,600,2
658,1200,300,14,1200,1800,2
659,300,300,22.4,300,0,2
660,300,600,42,300,0,2
661,2700,300,22.4,2700,0,2
662,1200,300,10,1200,0,2
663,300,0,7.6,300,0,2
664,600,300,4.8,600,0,2
665,600,300,5.6,600,21300,2
666,300,300,4.8,300,3000,2
667,300,300,5.6,300,600,2
668,300,0,4,300,900,2
669,300,0,4.8,300,900,2
670,300,0,4.4,300,1800,2
671,300,0,5.2,300,300,2
672,300,300,11.6,300,5700,2
673,600,600,11.6,600,600,2
674,300,300,11.6,300,600,2
675,1500,1800,20.4,1500,31200,2
676,900,900,18.4,900,0,2
677,1800,300,22,1800,0,2
678,600,300,22,600,0,2
679,1200,300,18.4,1200,0,2
680,300,300,8,300,0,2
681,300,0,4.4,300,18000,2
682,300,0,12.4,300,25800,2
683,300,300,6.4,300,300,2
684,300,300,4,300,6000,2
685,300,0,4,300,0,2
686,300,0,3.6,300,0,2
687,300,0,4.4,300,900,2
688,300,0,4.8,300,0,2
689,300,0,4.4,300,0,2
690,300,300,4,300,600,2
691,300,0,4,300,900,2
692,300,0,3.6,300,0,2
693,300,0,4.8,300,5400,2
694,300,0,4.8,300,900,2
695,300,0,4.8,300,0,2
696,300,300,4.8,300,900,2
697,300,0,4.8,300,0,2
698,300,300,47.2,300,0,2
699,300,300,14.4,300,600,2
700,1200,300,21.2,1200,0,2
701,300,300,17.6,300,0,2
702,300,300,14.4,300,0,2
703,300,0,3.6,300,30900,2
704,300,300,7.2,300,900,2
705,600,300,7.41,600,3600,2
706,300,0,4.61,300,2700,2
707,300,300,4.61,300,4200,2
708,300,0,4,300,19500,2
709,300,300,20,300,10500,2
710,300,600,24,300,1500,2
711,300,300,24,300,900,2
712,2100,6000,21.6,2100,0,2
713,1200,4800,18.4,1200,1800,2
714,300,0,4,300,13500,2
715,300,0,4.8,300,300,2
716,300,0,5.2,300,18300,2
717,300,0,10,300,300,2
718,600,300,12.8,600,2400,2
719,300,300,8.4,300,61800,2
720,300,300,13.2,300,16800,2
721,300,300,6.8,300,5100,2
722,300,600,9.2,300,5700,2
723,300,300,8,300,6300,2
724,600,300,18,600,11100,2
725,600,900,18,600,600,2
726,2100,7200,28.8,2100,0,2
727,300,300,28.8,300,0,2
728,600,1200,24,600,900,2
729,300,0,15.6,300,0,2
730,1800,300,17.6,1800,0,2
731,600,300,9.2,600,600,2
732,300,0,4.8,300,300,2
733,300,0,4.8,300,6000,2
734,300,900,15.2,300,1200,2
735,300,300,63.2,300,900,2
736,600,300,35.6,600,5100,2
737,600,300,19.6,600,2400,2
738,600,300,8,600,2700,2
739,600,300,12,600,1800,2
740,600,300,9.6,600,3000,2
741,600,300,8,600,0,2
742,300,900,28.8,300,3600,2
743,300,0,12.4,300,5100,2
744,300,0,4.4,300,3900,2
745,600,600,16.4,600,300,2
746,600,2100,67.6,600,3900,2
747,2100,300,38.4,2100,0,2
748,600,600,21.2,600,0,2
749,600,600,20,600,0,2
750,600,600,24,600,0,2
751,300,900,28.8,300,0,2
752,600,900,24,600,0,2
753,1800,2700,20,1800,300,2
754,900,2100,20,900,0,2
755,1500,1800,17.2,1500,0,2
756,300,300,14,300,0,2
757,600,300,17.2,600,0,2
758,1200,300,17.2,1200,0,2
759,300,600,14,300,0,2
760,300,0,11.6,300,300,2
761,300,300,11.6,300,900,2
762,600,300,10.8,600,2700,2
763,300,900,13.6,300,1500,2
764,300,300,4,300,600,2
765,300,0,5.6,300,3000,2
766,600,300,16.4,600,900,2
767,300,300,8.4,300,6900,2
768,600,300,6.4,600,3600,2
769,300,0,26.8,300,2700,2
770,900,2700,14.8,900,6900,2
771,300,300,3.6,300,600,2
772,300,300,3.6,300,1800,2
773,600,300,4.4,600,0,2
774,600,300,14.4,600,0,2
775,600,300,26.8,600,600,2
776,600,300,14.4,600,0,2
777,600,300,14.4,600,300,2
778,600,300,26.8,600,0,2
779,1200,300,18.4,1200,0,2
780,1800,300,21.6,1800,0,2
781,600,900,18.4,600,0,2
782,600,0,15.2,600,0,2
783,600,300,18.4,600,600,2
784,900,3600,15.2,900,900,2
785,900,600,15.2,900,600,2
786,300,300,15.2,300,0,2
787,900,1200,18.4,900,0,2
788,900,300,15.2,900,0,2
789,900,1200,22.4,900,0,2
790,600,600,15.2,600,0,2
791,600,0,23.6,600,0,2
792,300,300,12.4,300,0,2
793,1500,1800,52,1500,0,2
794,600,300,20,600,0,2
795,900,600,20,900,0,2
796,600,600,20,600,900,2
797,300,0,7.6,300,600,2
798,600,600,16.8,600,1800,2
799,600,300,16.8,600,0,2
800,900,600,16.8,900,1500,2
801,900,300,20.4,900,0,2
802,600,300,16.8,600,0,2
803,300,0,7.2,300,0,2
804,600,300,18,600,600,2
805,600,600,14.8,600,0,2
806,600,300,18,600,0,2
807,600,600,18,600,0,2
808,600,600,18,600,0,2
809,600,900,18,600,2100,2
810,600,300,20.4,600,3600,2
811,1500,300,20.4,1500,0,2
812,600,300,20.4,600,0,2
813,300,300,24,300,0,2
814,1800,300,20.4,1800,0,2
815,300,300,20,300,0,2
816,600,900,20,600,0,2
817,600,300,13.6,600,0,2
818,600,300,16.4,600,600,2
819,600,300,16.4,600,0,2
820,600,900,13.6,600,0,2
821,600,300,16.4,600,0,2
822,600,900,13.6,600,0,2
823,600,1200,14.4,600,600,2
824,300,300,6,300,900,2
825,600,300,14.4,600,0,2
826,1200,900,26,1200,0,2
827,600,600,18.4,600,0,2
828,1500,900,22,1500,0,2
829,300,300,3.6,300,0,2
830,600,300,5.6,600,300,2
831,300,0,4,300,0,2
832,600,300,19.6,600,0,2
833,600,300,87.6,600,900,2
834,900,300,16,900,6600,2
835,600,600,48.4,600,31200,2
836,600,300,33.6,600,1200,2
837,300,300,90.4,300,1200,2
838,600,300,25.6,600,900,2
839,600,900,20,600,0,2
840,1500,1500,18.4,1500,4500,2
841,600,300,8,600,300,2
842,300,0,3.6,300,0,2
843,600,600,15.2,600,900,2
844,600,300,6.4,600,0,2
845,600,1500,18.4,600,0,2
846,600,300,6.4,600,0,2
847,300,600,22.4,300,1500,2
848,600,600,22.4,600,300,2
849,600,600,22.4,600,0,2
850,300,300,22.4,300,300,2
851,600,300,15.2,600,300,2
852,600,300,8,600,300,2
853,600,600,20,600,17100,2
854,300,0,16.4,300,4200,2
855,600,300,19.6,600,6600,2
856,300,600,102.4,300,5100,2
857,600,600,58.4,600,600,2
858,300,900,63.2,300,6600,2
859,1200,1200,63.2,1200,300,2
860,900,1800,28.8,900,0,2
861,600,300,14.4,600,2100,2
862,3300,300,26.8,3300,600,2
863,600,300,22,600,0,2
